Name,Rank,Location,Points
Mutter,1001.0,Ontario,6020080
mk9999,1002.0,"Rochester, New York",6019895
creeklin,1003.0,Ontario,6019175
humphryd,1004.0,"Calgary, Alberta",6017095
krell58,1005.0,Missouri,6014845
muggs16,1006.0,"Toronto, Ontario",6014775
GrandBlanc,1007.0,Michigan,6010960
FranklinGasGuy,1008.0,"Nashville, Tennessee",6010690
pzini,1009.0,New Jersey,6010415
AlanD,1010.0,"Chicago, Illinois",6010075
sit,1011.0,"Cleveland, Ohio",6008985
lou17,1012.0,"Rochester, New York",6008860
JWTH531,1013.0,Connecticut,6008445
Teddy95,1014.0,"Dayton, Ohio",6007050
Rigme,1015.0,Saskatchewan,6006560
mike52,1016.0,Wisconsin,6006200
MDTDriver,1017.0,California,6005990
mk0532,1018.0,Kansas,6005540
FlyNFool,1019.0,South Carolina,6001970
kool_rider,1020.0,"Calgary, Alberta",6001530
dragon65,1021.0,"Chicago, Illinois",6001285
bruce725,1022.0,Florida,6000865
alp,1023.0,"Portland, Oregon",6000525
UncleBill,1024.0,"Winnipeg, Manitoba",6000015
aka,1025.0,Arizona,5999145
dupont941,1026.0,Florida,5998640
Ferrari_1,1027.0,"London, Ontario",5998310
Garryhead,1028.0,"Nashville, Tennessee",5997970
Gas Slave,1029.0,"Cincinnati, Ohio",5996780
TOPitOFF,1030.0,New Hampshire,5995845
Wizrd03,1031.0,Illinois,5995160
jb47,1032.0,"Shreveport, Louisiana",5993510
HEBster,1033.0,Kentucky,5993240
Nflooring17,1034.0,"Charlotte, North Carolina",5993225
MeterShock,1035.0,"London, Ontario",5990630
lion54,1036.0,South Carolina,5990620
Jarol,1037.0,Iowa,5989740
ItsMorph,1038.0,"Grand Rapids, Michigan",5988500
PhilMay,1039.0,"Detroit, Michigan",5984825
LexusLS400,1040.0,"Orange County, California",5984790
perspicacity,1041.0,"Oklahoma City, Oklahoma",5982890
outridin,1042.0,Illinois,5981585
DrNot,1043.0,Mississippi,5979035
heocon,1044.0,Hawaii,5979000
Biogen,1045.0,"Ventura, California",5978820
nurdco,1046.0,"Colorado Springs, Colorado",5976920
my2002m,1047.0,"Tulsa, Oklahoma",5976140
larrypm,1048.0,Newfoundland,5975830
MarMacMal,1049.0,"St. Louis, Missouri",5975450
Thor51,1050.0,"London, Ontario",5975340
papou,1051.0,"Tampa, Florida",5974880
gmcgas,1052.0,"Atlanta, Georgia",5973900
vikens,1053.0,"Twin Cities, Minnesota",5973825
bayamon,1054.0,"Orlando, Florida",5973640
soesbandit,1055.0,"Orlando, Florida",5973450
TakeItEasy,1056.0,"San Jose, California",5972625
Nuthouse,1057.0,Illinois,5971820
gasaddik,1058.0,"Wichita, Kansas",5968455
ink62,1059.0,"Chicago, Illinois",5966195
montana920,1060.0,"Chicago, Illinois",5963190
GAS1251,1061.0,Texas,5963130
NASH,1062.0,"Edmonton, Alberta",5962360
Gas Cat,1063.0,"Tampa, Florida",5961845
Solly93,1064.0,"Raleigh, North Carolina",5961095
jimnkelli,1065.0,"St. Louis, Missouri",5956310
bearone2,1066.0,"Phoenix, Arizona",5955420
a351c,1067.0,Mississippi,5953035
Dennisjk,1068.0,"Detroit, Michigan",5952840
honda0105,1069.0,"Tallahassee, Florida",5952090
Hitnmiss,1070.0,Iowa,5952025
OPTIMZD,1071.0,"San Diego, California",5951480
shoozoo,1072.0,"Orange County, California",5948030
H82Bgouged,1073.0,Indiana,5946815
radcaz,1074.0,"Houston, Texas",5946765
SilverFoxHMT,1075.0,"San Diego, California",5944475
OHMS,1076.0,"Orange County, California",5943770
allanm,1077.0,"Virginia Beach, Virginia",5943495
WVUtailgater,1078.0,"Cleveland, Ohio",5943145
30mpg80,1079.0,"Lexington, Kentucky",5942245
Martin62,1080.0,"Calgary, Alberta",5941705
Sub98,1081.0,"Toledo, Ohio",5939340
jayrad1957,1082.0,"Los Angeles, California",5937565
MACEPAK,1083.0,"Omaha, Nebraska",5936950
kraby1,1084.0,"New Haven, Connecticut",5936015
ronnie13,1085.0,"Kansas City, Missouri",5934815
dnelson989,1086.0,Washington,5933325
PurpleRiver,1087.0,"Denver, Colorado",5932665
smol01,1088.0,"Columbus, Ohio",5932180
therder,1089.0,"Lexington, Kentucky",5929120
gixxerman35,1090.0,"Las Vegas, Nevada",5928810
madison8359,1091.0,"Cleveland, Ohio",5928805
cjs,1092.0,"Oklahoma City, Oklahoma",5924540
BSpeedIII,1093.0,"Tulsa, Oklahoma",5924145
Xpoint,1094.0,Idaho,5923600
tramguy,1095.0,"Toronto, Ontario",5921095
OldMalibu,1096.0,Utah,5920435
Raudy,1097.0,"Riverside, California",5916850
Geo4564,1098.0,Nevada,5916370
KaliforniaKid,1099.0,California,5915900
1smudge,1100.0,"Columbus, Ohio",5914845
badguzzler,1101.0,Virginia,5913860
ww2gas,1102.0,Virginia,5913410
jason54915,1103.0,"Appleton, Wisconsin",5911170
planeplane,1104.0,Tennessee,5910000
JPEight,1105.0,"Nashville, Tennessee",5908840
gerreg,1106.0,Nebraska,5908370
rspiano,1107.0,"Tucson, Arizona",5906455
OldMan322,1108.0,Illinois,5904795
TH34,1109.0,"Baltimore, Maryland",5902375
LoonAToon,1110.0,New Hampshire,5902165
bad_sailor,1111.0,"London, Ontario",5901120
Wiggly,1112.0,Tennessee,5900455
kimo31,1113.0,"Orange County, California",5899750
Hawg47,1114.0,Arkansas,5899705
fortysixdays,1115.0,"Houston, Texas",5898225
eggcircuit,1116.0,"New York City, New York",5896365
rb1313,1117.0,"Knoxville, Tennessee",5894500
ClwFL,1118.0,"Tampa, Florida",5893410
MauiTX,1119.0,"Fort Worth, Texas",5893375
Mightworkforgas,1120.0,"Milwaukee, Wisconsin",5891855
Dale Jr.,1121.0,Illinois,5890375
AJKPA,1122.0,Pennsylvania,5889630
rebelrocker,1123.0,"Milwaukee, Wisconsin",5889590
BluebirdCA,1124.0,California,5889125
FedUpCA,1125.0,"Ventura, California",5885360
soca,1126.0,"Toronto, Ontario",5885285
alphascan,1127.0,Minnesota,5883875
claylemon,1128.0,Arkansas,5883710
QuickPicker,1129.0,"Philadelphia, Pennsylvania",5882210
Grizzly1505,1130.0,North Carolina,5879570
gabbygusIN,1131.0,Indiana,5879325
Mobiusag,1132.0,British Columbia,5877310
jberg29,1133.0,"Twin Cities, Minnesota",5876920
Loree71,1134.0,"San Bernardino, California",5876810
spyder3m,1135.0,Florida,5874790
Pi314CA,1136.0,"San Jose, California",5874375
Civic90,1137.0,"Vancouver, British Columbia",5871105
KingBiscuit,1138.0,"Raleigh, North Carolina",5871080
Metro50,1139.0,"Grand Rapids, Michigan",5869510
AmarilloAlan,1140.0,"Amarillo, Texas",5869095
Rouxd,1141.0,"Little Rock, Arkansas",5868515
ozarkpapa,1142.0,"Pensacola, Florida",5867680
Ramaniac,1143.0,"St. Louis, Missouri",5867640
joskenn,1144.0,"Albuquerque, New Mexico",5866525
TxGasRat,1145.0,"Houston, Texas",5866270
sjlevine,1146.0,"Oklahoma City, Oklahoma",5865680
BigdaddyWI,1147.0,"Milwaukee, Wisconsin",5865370
spike1zz,1148.0,Indiana,5865170
GC4444,1149.0,West Virginia,5864645
HarrisonL,1150.0,"Charleston, West Virginia",5860255
hittner,1151.0,"Allentown, Pennsylvania",5859325
erod13,1152.0,"Tallahassee, Florida",5858860
doncNJ,1153.0,New Jersey,5856895
billbearAL,1154.0,"Montgomery, Alabama",5855130
bigmacatac,1155.0,"St. Louis, Missouri",5854815
airchair,1156.0,"Portland, Oregon",5850945
hvgasboy,1157.0,New York,5850610
Einstein47,1158.0,Utah,5850063
Lorimar,1159.0,Iowa,5849420
dirt girl,1160.0,"Twin Cities, Minnesota",5849325
Rhiannon,1161.0,"Milwaukee, Wisconsin",5849160
TheSicilian,1162.0,"Jacksonville, Florida",5848245
Jocko,1163.0,"Spokane, Washington",5847695
Goaljudge,1164.0,Kentucky,5846965
Sasquatch2005,1165.0,British Columbia,5846600
HankJ,1166.0,"Montgomery, Alabama",5846455
ag9495,1167.0,"Houston, Texas",5844800
LexieKY,1168.0,"Lexington, Kentucky",5844080
DrDX,1169.0,Connecticut,5842650
Local39701,1170.0,Mississippi,5842155
fill-her-up,1171.0,Ontario,5841440
fatboy97,1172.0,"Twin Cities, Minnesota",5840625
mh44s,1173.0,"Madison, Wisconsin",5839015
Jbws68,1174.0,Illinois,5838520
retailman,1175.0,"Long Island, New York",5834590
mrjames1818,1176.0,New Jersey,5833045
scshute,1177.0,"Kansas City, Missouri",5831400
AKmailman,1178.0,Alaska,5831020
Hugo40,1179.0,Kentucky,5830935
Surveyguy,1180.0,Texas,5829950
MichaelValorie,1181.0,"Oklahoma City, Oklahoma",5829805
tbucks,1182.0,"Springfield, Massachusetts",5829175
rschmetzer,1183.0,"Tallahassee, Florida",5828685
JRF,1184.0,"Columbus, Ohio",5823645
Skipper52,1185.0,Massachusetts,5823575
SUVFan,1186.0,"Columbus, Ohio",5823380
trapper9,1187.0,Georgia,5823000
thirstyauto,1188.0,"Milwaukee, Wisconsin",5822920
fightbigoil71,1189.0,"Milwaukee, Wisconsin",5822200
tmstowe,1190.0,Utah,5821270
carnutt,1191.0,"Phoenix, Arizona",5820005
crocstoy,1192.0,Ontario,5816400
Disnydad,1193.0,"Albany, New York",5816060
spy54904,1194.0,Wisconsin,5815340
Steady325,1195.0,"Orange County, California",5810439
SubaRick,1196.0,"Austin, Texas",5809925
BLKSILVER,1197.0,"Indianapolis, Indiana",5809875
camel1,1198.0,Minnesota,5809565
TLyleJeep,1199.0,Wyoming,5809475
ncc4950,1200.0,"Greensboro, North Carolina",5809320
biza4u,1201.0,"New Haven, Connecticut",5809140
Fish167,1202.0,North Carolina,5807890
b899,,Connecticut,5807890
Bud122CA,1204.0,California,5807295
SCB1970,1205.0,"Salt Lake City, Utah",5807000
Bigboy1942,1206.0,"Louisville, Kentucky",5806620
SulleysPhone,1207.0,"Fort Worth, Texas",5804150
resintech,1208.0,Iowa,5803990
Davescold,1209.0,"Dallas, Texas",5803255
runinoutagas,1210.0,"San Bernardino, California",5801900
attitash,1211.0,Ontario,5801060
Gassed-up,1212.0,"Toronto, Ontario",5799990
wishywashy,1213.0,"Omaha, Nebraska",5798770
nima,1214.0,Virginia,5795715
Benzilla,1215.0,"Tampa, Florida",5795390
muduck,1216.0,"San Diego, California",5794815
fratt,1217.0,"Grand Rapids, Michigan",5794610
Handiman,1218.0,Saskatchewan,5792400
boanerges,1219.0,"Los Angeles, California",5791355
goober1,1220.0,"Atlanta, Georgia",5791025
RUNNLATE,1221.0,Hawaii,5790310
Bright_Scouter,1222.0,"Grand Rapids, Michigan",5789925
linament,1223.0,"Ventura, California",5787765
firepower,1224.0,"Tucson, Arizona",5786030
C4U,1225.0,"Salt Lake City, Utah",5784510
Scubamal,1226.0,"Riverside, California",5783115
